2020-01-01	1	3	1	1	1	2020	0	元旦
2020-01-02	1	4	2	1	1	2020	1	\N
2020-01-03	1	5	3	1	1	2020	1	\N
2020-01-04	1	6	4	1	1	2020	0	\N
2020-01-05	1	7	5	1	1	2020	0	\N
2020-01-06	2	1	6	1	1	2020	1	\N
2020-01-07	2	2	7	1	1	2020	1	\N
2020-01-08	2	3	8	1	1	2020	1	\N
2020-01-09	2	4	9	1	1	2020	1	\N
2020-01-10	2	5	10	1	1	2020	1	\N
2020-01-11	2	6	11	1	1	2020	0	\N
2020-01-12	2	7	12	1	1	2020	0	\N
2020-01-13	3	1	13	1	1	2020	1	\N
2020-01-14	3	2	14	1	1	2020	1	\N
2020-01-15	3	3	15	1	1	2020	1	\N
2020-01-16	3	4	16	1	1	2020	1	\N
2020-01-17	3	5	17	1	1	2020	1	\N
2020-01-18	3	6	18	1	1	2020	0	\N
2020-01-19	3	7	19	1	1	2020	1	\N
2020-01-20	4	1	20	1	1	2020	1	\N
2020-01-21	4	2	21	1	1	2020	1	\N
2020-01-22	4	3	22	1	1	2020	1	\N
2020-01-23	4	4	23	1	1	2020	1	\N
2020-01-24	4	5	24	1	1	2020	0	春节
2020-01-25	4	6	25	1	1	2020	0	春节
2020-01-26	4	7	26	1	1	2020	0	春节
2020-01-27	5	1	27	1	1	2020	0	春节
2020-01-28	5	2	28	1	1	2020	0	春节
2020-01-29	5	3	29	1	1	2020	0	春节
2020-01-30	5	4	30	1	1	2020	0	春节
2020-01-31	5	5	31	1	1	2020	0	春节
2020-02-01	5	6	1	2	1	2020	0	春节
2020-02-02	5	7	2	2	1	2020	0	春节
2020-02-03	6	1	3	2	1	2020	1	\N
2020-02-04	6	2	4	2	1	2020	1	\N
2020-02-05	6	3	5	2	1	2020	1	\N
2020-02-06	6	4	6	2	1	2020	1	\N
2020-02-07	6	5	7	2	1	2020	1	\N
2020-02-08	6	6	8	2	1	2020	0	\N
2020-02-09	6	7	9	2	1	2020	0	\N
2020-02-10	7	1	10	2	1	2020	1	\N
2020-02-11	7	2	11	2	1	2020	1	\N
2020-02-12	7	3	12	2	1	2020	1	\N
2020-02-13	7	4	13	2	1	2020	1	\N
2020-02-14	7	5	14	2	1	2020	1	\N
2020-02-15	7	6	15	2	1	2020	0	\N
2020-02-16	7	7	16	2	1	2020	0	\N
2020-02-17	8	1	17	2	1	2020	1	\N
2020-02-18	8	2	18	2	1	2020	1	\N
2020-02-19	8	3	19	2	1	2020	1	\N
2020-02-20	8	4	20	2	1	2020	1	\N
2020-02-21	8	5	21	2	1	2020	1	\N
2020-02-22	8	6	22	2	1	2020	0	\N
2020-02-23	8	7	23	2	1	2020	0	\N
2020-02-24	9	1	24	2	1	2020	1	\N
2020-02-25	9	2	25	2	1	2020	1	\N
2020-02-26	9	3	26	2	1	2020	1	\N
2020-02-27	9	4	27	2	1	2020	1	\N
2020-02-28	9	5	28	2	1	2020	1	\N
2020-02-29	9	6	29	2	1	2020	0	\N
2020-03-01	9	7	1	3	1	2020	0	\N
2020-03-02	10	1	2	3	1	2020	1	\N
2020-03-03	10	2	3	3	1	2020	1	\N
2020-03-04	10	3	4	3	1	2020	1	\N
2020-03-05	10	4	5	3	1	2020	1	\N
2020-03-06	10	5	6	3	1	2020	1	\N
2020-03-07	10	6	7	3	1	2020	0	\N
2020-03-08	10	7	8	3	1	2020	0	\N
2020-03-09	11	1	9	3	1	2020	1	\N
2020-03-10	11	2	10	3	1	2020	1	\N
